"FDP Form 4a - Annual Procurement Plan or Procurement List, by Office or Department",,,,,,,,,,,,,
,Stapler w/ remover,,,,,,,,," 106,200.00 "," 106,200.00 ",,
,Stamp Pad,,,,,,,,," 2,080.00 "," 2,080.00 ",,
,"Tape Masking 1""",,,,,,,,," 1,400.00 "," 1,400.00 ",,
,USB Flash Drive 32GB,,,,,,,,," 5,100.00 "," 5,100.00 ",,
,USB Flash Drive 64GB,,,,,,,,," 8,350.00 "," 8,350.00 ",,
,USB Flash Drive OTG 16GB,,,,,,,,," 6,870.00 "," 6,870.00 ",,
,USB Flash Drive 16GB,,,,,,,,," 4,950.00 "," 4,950.00 ",,
,USB Flash Drive 8GB,,,,,,,,," 4,910.00 "," 4,910.00 ",,
,8GB Micro SD card,,,,,,,,," 1,562.50 "," 1,562.50 ",,
,Write 4 all pen,,,,,,,,," 2,000.00 "," 2,000.00 ",,
,White board 18 X 24,,,,,,,,," 3,600.00 "," 3,600.00 ",,
,White board marker black,,,,,,,,," 1,360.00 "," 1,360.00 ",,
5 02 13 020,Repair & Maint. - Land Improvements,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 75,000.00 "," 75,000.00 ",,
5 02 13 050,Repair & Maint. - Machinery and Equipment,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 1,580,000.00 "," 1,580,000.00 ",,
5 02 13 070,Repair & Maint. -  Furnitures & Fixtures,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 285,000.00 "," 285,000.00 ",,
5 02 13 060,Repair & Maint.- Transportation Equipment,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 6,265,000.00 "," 6,265,000.00 ",,
5 02 13 040,Repair & Maint. - Building & Other Structure,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 5,686,000.00 "," 5,686,000.00 ",,
5 02 13 210,Repairs & Maint. - Semi Expendable Machinery & Equipment,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 330,000.00 "," 330,000.00 ",,
5 02 13 220,"Repairs & Maint. - Semi Expendable Furniture, Fixtures & Books",,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 320,000.00 "," 320,000.00 ",,
5 02 01 010,Travelling Expense Local,,,,January-December,January-December,January-December,January-December,GF," 1,238,275.00 "," 1,238,275.00 ",,
5 02 01 020,Travelling Expense Foreign ,,,,May,May,May,May,GF," 100,500.00 "," 100,500.00 ",,
5 02 03 090,"Fuel, Oil & Lubricants Expenses",,,,July - December,July - December,July - December,July - December,GF," 14,275,000.00 "," 14,275,000.00 ",,
5 02 04 010,Water Expenses,,,,July - December,July - December,July - December,July - December,GF," 14,000,000.00 "," 14,000,000.00 ",,
5 02 04 020,Electricity Expenses,,,,January-December,January-December,January-December,January-December,GF," 90,000,000.00 "," 75,000,000.00 ",,
5 02 05 010,Postage and Courier Service,,,,"March,June,September","May,June,September","May,June,September","May,June,September",GF," 9,750.00 "," 9,750.00 ",,
,Mails of official documents/letters/notices,,,,,,,,,,,,
5 02 05 020,Telephone Expenses ,,,,January-December,January-December,January-December,January-December,GF," 196,000.00 "," 196,000.00 ",,
5 02 05 030,Internet Subscription Expenses,,,,January-December,January-December,January-December,January-December,GF," 450,000.00 "," 450,000.00 ",,
5 02 05 040,"Cable, Satellite, Telegraph & Radio Expenses",,,,January-December,January-December,January-December,January-December,GF," 75,000.00 "," 75,000.00 ",,
5 02 99 060,"Membership, Dues & Contributions to Organizations",,,,"March,June,September","March,June,September","March,June,September","March,June,September",GF," 67,000.00 "," 67,000.00 ",,
5 02 99 010,Advertising Expenses,,, BIDDING/            SMALL VALUE ,"March,June,September","March,June,September","March,June,September","March,June,September",GF," 400,000.00 "," 400,000.00 ",,
,      Publication of Invitation to Bid,,,,,,,,,, -   ,,
5 02 99 020,Printing & Publication Expenses,,, BIDDING/            SMALL VALUE ,"March,June,September","March,June,September","March,June,September","March,June,September",GF," 50,000.00 "," 50,000.00 ",,
,      Records binding,,,,,,,,,, -   ,,
5 02 99 050,Rent Expenses,,, BIDDING/            SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 14,903,000.00 "," 14,903,000.00 ",,
,     Rental of Chairs,,,,,,,,,,,,
,     Rental of Sound system & LED monitor,,,,,,,,,,,,
,     Rental of tent,,,,,,,,,,,,
,     Rental of vehicle/watercraft,,,,,,,,,,,,
,     Rental of portalet,,,,,,,,,,,,
,     Rental of Manlift,,,,,,,,,,,,
,    Rental of Crane Rough Terrain 25 tons with operator,,,,,,,,,,,,
,     Rental of stage,,,,,,,,,,,,
,     Rental of Chairs,,,,,,,,,,,,
,     Rental of Tables / Tables with cover,,,,,,,,,,,,
,     Rental of Sound system & LED monitor,,,,,,,,,,,,
,"     Rental of tent / Collapsible tent / foldable, protable tent with aircon",,,,,,,,,,,,
,     Rental of vehicle/watercraft,,,,,,,,,,,,
,     Rental of portalet,,,,,,,,,,,,
,     Rental of Manlift,,,,,,,,,,,,
,    Rental of Crane Rough Terrain 25 tons with operator,,,,,,,,,,,,
,     Rental of stage,,,,,,,,,,,,
,"     Rental of LED Wall, Camera",,,,,,,,,,,,
,     Rental of camera with gears and underwater camera,,,,,,,,,,,,
,"     Rental of HD Camera for Livefeed, Video Camera, Drone Camera, Roving Camera",,,,,,,,,,,,
,"    Rental of Venue, space",,,,,,,,,,,,
,    Rental of drumbeaters/brass band,,,,,,,,,,,,
,"    Rental of jeep, bus, mini bus, van, coaster, truck, bangka, motor boat, tricycle, public utility vehicle, ",,,,,,,,,,,,
,    Rental of Confetti blasters,,,,,,,,,,,,
,    Rental of Lapel Microphones,,,,,,,,,,,,
,   Rental of Portable Toilet,,,,,,,,,,,,
,   Rental of Projection Mapping (3D Surface Mapping),,,,,,,,,,,,
,   Rental of Special Light Set up,,,,,,,,,,,,
,"   Rental of Sound System (including all accessories), lights, and set up of instrument",,,,,,,,,,,,
,    Rental of stage st up and design,,,,,,,,,,,,
,   Rental of Video coverage,,,,,,,,,,,,
,"    Rental of Video mixer, video processor, video switcher",,,,,,,,,,,,
,    Rental of PC Controller Scaler,,,,,,,,,,,,
,"   Rental of HDMI, Cat 5, Peripherals",,,,,,,,,,,,
,"   Rental of Cables, signals and Accessories",,,,,,,,,,,,
,   Rental of electrical Cables ans Accessories,,,,,,,,,,,,
,    Rental of Powerpack,,,,,,,,,,,,
,   Rental of Mascot,,,,,,,,,,,,
,   Rental of Exhibit booths,,,,,,,,,,,,
,   Rental of various Machinery/Equipment,,,,,,,,,,,,
,   Rental of Livestram & Broadcast Equipment,,,,,,,,,,,,
,   Rental of Oxygen tanks,,,,,,,,,,,,
,   Rentals of Diving Pharapernalia,,,,,,,,,,,,
,   Rental of Diving gear,,,,,,,,,,,,
,    Rental of Generator Set,,,,,,,,,,,,
5 02 99 070,Subscription Expenses,,, BIDDING/            SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 32,250.00 "," 32,250.00 ",,
,     Newspaper,,,,,,,,,,,,
,     Magazine,,,,,,,,,,,,
5 02 16 020,Fedelity Bond Premiums,,,,January-December,January-December,January-December,January-December,GF," 10,166.00 "," 10,166.00 ",,
5 02 99 030,Representation Expenses,,, BIDDING/            SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 500,000.00 "," 500,000.00 ",,
,     Meals & Snacks,,,,,,,,,,,,
,"     Tokens (Framed balisong,2x3ft.materials:deer horn, heavy duty w/ seal);  kapeng barako, 1/4 kilo, tablea, etc.)",,,,,,,,,,,,
5 02 16 010,"Taxes, Duties & Licenses",,,,January-December,January-December,January-December,January-December,GF," 1,000,000.00 "," 1,000,000.00 ",,
,      LTO Registration for vehicles,,,,,,,,,,,,
,      Emmission Testing,,,,,,,,,,,,
,      PNP Clearance,,,,,,,,,,,,
5 02 16 030,Insurance Expense,,,,January-December,January-December,January-December,January-December,GF," 25,000,000.00 "," 25,000,000.00 ",,
5 02 12 010,Environment / Sanitary Services,,, Bidding/Small Value ,January-December,January-December,January-December,January-December,GF," 1,500,000.00 "," 1,500,000.00 ",,
,      Siphoning,,,,,,,,,,,,
,      Disposal of Solid Waste Materials to Sanitary Landfill,,,,,,,,,,,,
5 02 02 010,Training Expenses,,, Bidding/Small Value ,March,March,March,March,GF," 800,000.00 "," 800,000.00 ",,
,"      Meals & Snacks Registration fee, Accomodation",,,,,,,,,,,,
5 02 99 990,Other Maintenance & Operating Expenses,,, Bidding/Small Value ,January-December,January-December,January-December,January-December,GF," 800,000.00 "," 800,000.00 ",,
,        Funeral Flowers,,,,,,,,,,,,
 ,        Petty Cash,,,,,,,,,,,,
,        Honorarium for speakers from LGU,,,,,,,,,,,,
,        Laundry Services,,,,,,,,,,,,
,        Sports Uniform,,,,,,,,,,,,
,        General Assembly,,,,,,,,,,,,
,       Year end Assessment,,,,,,,,,,,,
5 02 11 990,Other Professional Services,,,,March,March,March,March,GF," 50,000.00 "," 50,000.00 ",,
,       Honorarium for speakers from ,,,,,,,,,,,,
,           GPPB/DILG/COA,,,,,,,,,,,,
1 07 05 020,Office Equipment,GSO,NO, BIDDING /SMALL VALUE ,,,,,,,,,
1,Supply and installation of 6HP non-inverter ceiling mounted ACU including 90ft excess piping and dismantle of existing unit,,,,March,March,March,March,GF," 450,000.00 ",," 450,000.00 ",
2,2.5 HP split type aircon,,,,March,March,March,March,GF," 360,000.00 ",," 360,000.00 ",
3, Multi functional Copier Machine(Printer/Scanner )- with high speed copying at 25 pages/minute simplex and 18 pages/minute duplex,,,,March,March,March,March,GF," 199,600.00 ",," 199,600.00 ",
1 07 07 010,Furniture and Fixtures,GSO,NO, BIDDING /SMALL VALUE ,,,,,,,,,
1,"Partition - Fabric with glass partition, with powder coated endtrims and customized color scheme",,,,March,March,March,March,GF," 55,000.00 ",," 55,000.00 ",
2,Customized Coffee Table:  Dimension: 60x60,,,,March,March,March,March,," 60,000.00 ",," 60,000.00 ",
3,Induction cooker,,,,March,March,March,March,," 138,000.00 ",," 138,000.00 ",
4,"Customized Dining Table 4-seater with Dining Chairs, 140L x 70Wx 75H",,,,March,March,March,March,," 114,000.00 ",," 114,000.00 ",
5,"Customized Office Sofa 2- seater, 150Lx60Wx80H",,,,March,March,March,March,," 60,000.00 ",," 60,000.00 ",
1 07 05 030,Information and Communication Technology Equipment,,, BIDDING /SMALL VALUE ,March,March,March,March,,,,,
1,"Computer Package - Processor: Intel Core i5 / 8GB, 1TB+256GB SSD / Monitor / Keyboard and mouse / Windows OS / with 3 in 1 printer (print, scan & copy) / UPS AVR 650VA",,,,March,March,March,March,," 170,000.00 ",," 170,000.00 ",
2,Computer Software,,,,March,March,March,March,," 185,000.00 ",," 185,000.00 ",
3,"Desktop Computer - Intel Core i7 8th Gen CPU / 16GB RAM / 256GB SSD / NVIDIA GeForce with monitor, AVR, UPS, printer",,,,March,March,March,March,GF," 99,850.00 ",," 99,850.00 ",
1 07 05 010,Machinery,,, BIDDING /SMALL VALUE ,,,,,,,,,
1, Light Tower With Silent Type Generator Set,,,,March,March,March,March,GF," 300,000.00 ",," 300,000.00 ",
1 07 05 990,Other Machineries and Equipment,GSO,NO, BIDDING /SMALL VALUE ,,,,,GF,,,,
1,"Telescopic Pole Pruner, 14"" 1.9hp, 7.5kg",,,,March,March,March,March,," 98,760.00 ",," 98,760.00 ",
2,Cordless Blower - with rechargeable battery and charger,,,,March,March,March,March,GF," 190,680.00 ",," 190,680.00 ",
1 07 05 100,Military Police & Security Equipment,GSO,NO, BIDDING /SMALL VALUE ,,,,,,,,,
1,"Purchase and installation of CCTV units IP camera with Audio; IP Camera 1080p Network Video Recorder with Power Supply UTP Cable, RJ 45; UTP Connector, Hard disk 4TB , POE Channel LED TV 50 inches with heavy duty bracket; 22 pcs cameras",,,,March,March,March,March,GF," 499,670.00 ",," 499,670.00 ",
1 07 06 010,Motor Vehicles,GSO,NO, SHOPPING/ BIDDING ,,,,,,,,,
1,SUV - Displacement: 2.0L to 2.9L / Number of Cylinder: 4CYL / Number of Valves: 16 Valve / Engine: Diesel / Transmission: Automatic,,,,March,March,March,March,," 5,000,000.00 ",," 5,000,000.00 ",
2,"Van - 14 seater passenger van, Displacement 2.8L/ Number of cylinder: 4cyl / Number of valves: 16 valve / Engine: Diesel / Transmission: Automatic",,,,March,March,March,March,," 2,800,000.00 ",," 2,800,000.00 ",
3,"Coaster -  Displacement 3,500-4,500 cc/ Number of cylinder: 4cyl / Number of valves: 16 valve / Engine: Diesel / Transmission: Manual",,,,March,March,March,March,," 2,500,000.00 ",," 2,500,000.00 ",
4,"Three Wheeled Vehicle-  Engine type: 4 stroke, forced air and oil cooled / Starting system : Electric / Brake type (front): RH foot operated-hydraulic drum / Tire size front: 4.00-8 6 PR tubeless / Wheel type: Steel rems / Curb weight: 362kg / Ground clearance: 170mm / Fuel system: DTS-I FI Engine / Engine Oil / Displacement: 236.22cc / Ignition System / Brake type (rear): RH foot operated-hydraulic drum / Overall Dimensions: 2635mmx1300mmx1700mm / Fuel Tank Capacity: 8L / Battery type: 12V-3Ah MF dry / Gear Shift Pattern / Features: sleak dashboard w/ PM3 / Real Steel Metal Doors / Symetrical transpareng Hood / Bigger rear view mirror / clear headlight lamp / Smoother engineer Performance / Included: TPL insurance & 3 years registration",,,,March,March,March,March,," 400,000.00 ",," 400,000.00 ",
5,Van - Displacement: not exceeding 2.8L / Number of Cylinder: 4 CYL / Number of valves: 16 valve / Engine: Diesel / Transmission: Manual ,,,,March,March,March,March,," 2,000,000.00 ",," 2,000,000.00 ",
,,,,,,,,,,,,,
1 07 05 070,Communication Equipment,GSO,NO, SHOPPING/ BIDDING ,,,,,,,,,
1,"Portable PA System -H 44cm x W 45cm x L104cm / Power: 1100 watts / Connectivity: bluetooth, Wifi / 2 x 242mm subwoofer / 2 x 120mm mid range / 2 x 74mm tweeter",,,,March,March,March,March,GF,"114,885.00",,"114,885.00",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
This is to certify that the above procurement plan is in accordance with the objective of this Office.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Approved by:,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,NOEL R. ROCAFORT,,,,,,,,
,,,,,       PGDH - GSO,,,,,,,,
